locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
655894,Mora Taco Truck,Truck,8714000,MARIPOSA ST: TENNESSEE ST to 04TH ST \ MINNESOTA ST (600 - 699),660 MARIPOSA ST,8724001,8724,1,15MFF-0006,REQUESTED,Tacos: quesadillas: burritos: tortas: tostadas,6015345.115,2106863.759,37.76590848,-122.3901431,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0006&ExportPDF=1&Filename=15MFF-0006_schedule.pdf,Mo-We:9AM-3PM,,,13/02/15,0,,"(37.7659084792055, -122.390143076585)"
437210,Natan's Catering,Truck,7166000,ILLINOIS ST: MARIPOSA ST \ TERRY A FRANCOIS BLVD to 18TH ST (600 - 699),Assessors Block 3941/Lot001,3941001,3941,1,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016208.818,2106421.254,37.76474132,-122.3871248,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/13 0:00,12/04/13,1,03/15/2014 12:00:00 AM,"(37.764741322675, -122.387124812179)"
437212,Natan's Catering,Truck,7174000,ILLINOIS ST: 25TH ST to END (1500 - 1599),Assessors Block 4296/Lot010,4296010,4296,10,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016154.266,2101929.534,37.75240499,-122.3870002,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/13 0:00,12/04/13,1,03/15/2014 12:00:00 AM,"(37.7524049924783, -122.387000196298)"
437207,Natan's Catering,Truck,0,,Assessors Block 4103/Lot023A,4103023A,4103,023A,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6014314.885,2104114.856,37.7583034,-122.3935141,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/13 0:00,12/04/13,1,03/15/2014 12:00:00 AM,"(37.7583033956425, -122.393514054817)"
665237,The Whole Cart,Truck,3525000,CALIFORNIA ST: DAVIS ST to FRONT ST (100 - 199),101 CALIFORNIA ST,263011,263,11,15MFF-0015,REQUESTED,Multiple Trucks,6013245.668,2116754.292,37.79294895,-122.3980986,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0015&ExportPDF=1&Filename=15MFF-0015_schedule.pdf,Mo-Fr:11AM-2PM,,,25/02/15,0,,"(37.7929489528347, -122.398098613167)"
494583,Sinthya's Hot Dogs,Truck,9124000,MISSION ST: 22ND ST to 23RD ST (2600 - 2699),2664 MISSION ST,3636009,3636,9,13MFF-0128,REQUESTED,Hot dogs: chips: soda: corn on the cob: french fries,6006918.868,2102808.378,37.75430239,-122.4190001,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0128&ExportPDF=1&Filename=13MFF-0128_schedule.pdf,Su/We/Th/Fr/Sa:5PM-9PM,,,04/11/13,0,,"(37.7543023858576, -122.419000119489)"
530342,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",Push Cart,10628000,POST ST: STOCKTON ST to POWELL ST (300 - 399),345 STOCKTON ST,295016,295,16,14MFF-0076,EXPIRED,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.,6010587.529,2115337.419,37.78891015,-122.407196,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0076&ExportPDF=1&Filename=14MFF-0076_schedule.pdf,Mo-Su:6AM-12AM,,03/27/2014 12:00:00 AM,27/03/14,1,03/15/2015 12:00:00 AM,"(37.7889101495704, -122.407196034122)"
437221,Natan's Catering,Truck,7727000,KANSAS ST: 16TH ST to 17TH ST (300 - 399),350 KANSAS ST,3958001D,3958,001D,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6011363.148,2106748.619,37.76537067,-122.4039078,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Su:9AM-10AM,,04/12/13 0:00,12/04/13,1,03/15/2014 12:00:00 AM,"(37.7653706693171, -122.403907848212)"
526149,Cheese Gone Wild,Truck,7033000,HOWARD ST: 01ST ST to MALDEN ALY (500 - 589),555 HOWARD ST,3736086,3736,86,14MFF-0035,EXPIRED,Grilled Cheese Sandwiches,6013558.063,2114719.339,37.78737884,-122.396875,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0035&ExportPDF=1&Filename=14MFF-0035_schedule.pdf,Fr:3PM-8PM;Th:4PM-8PM,,03/13/2014 12:00:00 AM,13/03/14,0,03/15/2015 12:00:00 AM,"(37.78737884181, -122.396874967163)"
654244,Tacos Esmeralda,Truck,5337000,EVANS AVE: RANKIN ST to SELBY ST (1800 - 1890),1800 EVANS AVE,5228001,5228,1,15MFF-0130,REQUESTED,Burritos: tacos: quesadillas: and tortas,6014520.892,2099538.537,37.74574924,-122.3924815,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0130&ExportPDF=1&Filename=15MFF-0130_schedule.pdf,Th/Fr/Sa:7AM-4PM,,,12/05/15,0,,"(37.7457492406203, -122.392481487678)"
509496,Sun Rise Catering,Truck,9513000,NATOMA ST: RUSS ST to 07TH ST (547 - 599),560 NATOMA ST,3726071,3726,71,14MFF-0001,EXPIRED,Cold Truck: sandwiches: drinks: snacks: candy: hot coffee,6009936.651,2111816.752,37.77920679,-122.4091995,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0001&ExportPDF=1&Filename=14MFF-0001_schedule.pdf,Mo/Tu/We/Th/Fr:10AM-11AM,,09/10/14 0:00,08/01/14,1,03/15/2015 12:00:00 AM,"(37.7792067880556, -122.409199456423)"
526280,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",Push Cart,8747202,MARKET ST: 04TH ST \ ELLIS ST \ STOCKTON ST to POWELL ST (800 - 890) -- NORTH --,870 MARKET ST,329005,329,5,14MFF-0048,EXPIRED,Soft pretzels: hot dogs: sausages: chips: popcorn: soda: espresso: cappucino: pastry: ica cream: ices: italian sausage: shish-ka-bob: churros: juice: water: various drinks,6010493.859,2113955.658,37.78511092,-122.4074227,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0048&ExportPDF=1&Filename=14MFF-0048_schedule.pdf,Mo-Su:6AM-9PM,,06/02/14 0:00,13/03/14,1,03/15/2015 12:00:00 AM,"(37.7851109204478, -122.407422668277)"
665094,Gour Chaat,Push Cart,8742101,MARKET ST: 01ST ST \ BUSH ST to 02ND ST (501 - 599) -- SOUTH --,555 MARKET ST,3708057,3708,57,15MFF-0044,REQUESTED,Chaats: vegeterian wraps: chai: soft drinks,6012693.864,2115651.384,37.78988988,-122.3999304,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0044&ExportPDF=1&Filename=15MFF-0044_schedule.pdf,Mo-We:8AM-6PM,,,09/03/15,0,,"(37.7898898782098, -122.399930411351)"
526128,Bach Catering,Truck,5118000,EGBERT AVE: NEWHALL ST to PHELPS ST (1800 - 1899),1828 EGBERT AVE,5434B005,5434B,5,14MFF-0034,EXPIRED,Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.,6012179.37,2092973.822,37.7275936,-122.4001172,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0034&ExportPDF=1&Filename=14MFF-0034_schedule.pdf,Mo-Fr:10AM-11AM,,03/13/2014 12:00:00 AM,13/03/14,1,03/15/2015 12:00:00 AM,"(37.7275936019207, -122.400117226063)"
639666,Afghani Rice,Push Cart,5057000,EDDY ST: POWELL ST to CYRIL MAGNIN ST (1 - 49),1 POWELL ST,330027,330,27,15MFF-0115,REQUESTED,Rice - Chicken & Beef: sauce: cold drinks: hot drinks,6010285.677,2113807.831,37.78469337,-122.4081325,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0115&ExportPDF=1&Filename=15MFF-0115_schedule.pdf,Th/Fr/Sa:11AM-3PM,,,07/04/15,0,03/15/2016 12:00:00 AM,"(37.7846933678258, -122.40813248678)"
519938,Bob Johnson,Truck,0,,Assessors Block 0733/Lot010,733010,733,10,14MFF-0009,EXPIRED,Watermelon,6003818.547,2113011.835,37.78214353,-122.4304498,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0009&ExportPDF=1&Filename=14MFF-0009_schedule.pdf,Mo-Su:10AM-7PM,,02/25/2014 12:00:00 AM,25/02/14,1,03/15/2015 12:00:00 AM,"(37.782143532929, -122.430449785949)"
634197,Smokin Warehouse Barbecue,Truck,2767000,BATTERY ST: UNION ST to FILBERT ST (1100 - 1199),1155 BATTERY ST,0107 007,107,7,15MFF-0105,REQUESTED,BBQ Sandwiches: BBQ lunch platters: sides (corn bread: beans: chili: potato salad: coleslaw): water: sodas: energy drinks: housemade iced tea.,6012094.775,2119998.079,37.80179144,-122.402309,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0105&ExportPDF=1&Filename=15MFF-0105_schedule.pdf,Tu/Th/Fr:11AM-2PM,,,24/03/15,0,03/15/2016 12:00:00 AM,"(37.8017914435056, -122.402308963297)"
526417,The Creme Brulee Cart,Push Cart,8742201,MARKET ST: 01ST ST \ BUSH ST to BATTERY ST (500 - 538) -- NORTH --,532 MARKET ST,290012,290,12,14MFF-0056,EXPIRED,Creme Brulee,6012582.228,2115893.453,37.79054832,-122.4003337,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0056&ExportPDF=1&Filename=14MFF-0056_schedule.pdf,Mo-Su:11AM-9PM,,03/14/2014 12:00:00 AM,14/03/14,1,03/15/2015 12:00:00 AM,"(37.7905483181832, -122.400333673679)"
437223,Natan's Catering,Truck,7164000,,Assessors Block 8722/Lot001,8722001,8722,1,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016110.001,2107608.418,37.76799555,-122.3875494,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/13 0:00,12/04/13,1,03/15/2014 12:00:00 AM,"(37.7679955456856, -122.387549426547)"
437199,Natan's Catering,Truck,698000,16TH ST: 04TH ST to OWENS ST (600 - 699),600 16TH ST,8718001,8718,1,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6015149.302,2107435.061,37.76746629,-122.3908603,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Su:9AM-10AM;Mo-Fr:12PM-1PM,,04/12/13 0:00,12/04/13,1,03/15/2014 12:00:00 AM,"(37.7674662871448, -122.390860289431)"
509481,Sun Rise Catering,Truck,5659000,FOLSOM ST: ESSEX ST to 02ND ST (529 - 599),532 FOLSOM ST,3736 156,3736,156,14MFF-0001,EXPIRED,Cold Truck: sandwiches: drinks: snacks: candy: hot coffee,6013904.786,2114508.166,37.7868183,-122.3956606,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0001&ExportPDF=1&Filename=14MFF-0001_schedule.pdf,Mo/Tu/We/Th/Fr:10AM-12PM;Mo-Fr:12PM-2PM,,09/10/14 0:00,08/01/14,1,03/15/2015 12:00:00 AM,"(37.7868183030362, -122.395660566066)"
526090,"Del Popolo, LLC.",Truck,8733000,MARIPOSA ST: BRYANT ST to FLORIDA ST (2700 - 2799),2772 MARIPOSA ST,3970004,3970,4,14MFF-0030,EXPIRED,Wood Fired Pizzas,6009371.839,2106032.5,37.76329292,-122.4107448,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0030&ExportPDF=1&Filename=14MFF-0030_schedule.pdf,Sa-Su:8AM-11PM;Mo-Fr:5PM-11PM,,03/13/2014 12:00:00 AM,13/03/14,0,03/15/2015 12:00:00 AM,"(37.763292918729, -122.41074477293)"
437225,Natan's Catering,Truck,15019101,MISSION BAY BLVD SOUTH: 03RD ST \ MISSION BAY BLVD to 04TH ST \ MISSION BAY BLVD (501 - 599),Assessors Block 8732/Lot001,8732001,8732,1,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6015193.322,2108612.958,37.77070298,-122.3907904,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Sa/Sa/Sa/Sa/Sa:12AM-1AM;Mo/Mo/Mo/Mo/Mo:6AM-7AM/8AM-9AM;Su/Su/Su/Su/Su:9AM-10AM;Mo/Mo/Mo/Mo/Mo:9AM-1,,04/12/13 0:00,12/04/13,1,03/15/2014 12:00:00 AM,"(37.7707029760975, -122.390790355566)"
494439,Sinthya's Hot Dogs,Truck,335000,06TH ST: FOLSOM ST to SHIPLEY ST (300 - 330),301 06TH ST,3753122,3753,122,13MFF-0127,REQUESTED,Hot dogs: chips: soda: corn on the cob: french fries,6011119.423,2111514.075,37.7784419,-122.4050864,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0127&ExportPDF=1&Filename=13MFF-0127_schedule.pdf,Th/Fr/Sa:10PM-3AM,,,04/11/13,0,,"(37.7784418992113, -122.405086420952)"
437219,Natan's Catering,Truck,8694000,MARIN ST: END to MICHIGAN ST (800 - 899),888 MARIN ST,4358007,4358,7,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016687.302,2100845.634,37.74945833,-122.3850813,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Su:8AM-9AM,,04/12/13 0:00,12/04/13,1,03/15/2014 12:00:00 AM,"(37.749458329027, -122.385081339678)"
509487,Sun Rise Catering,Truck,417000,08TH ST: BRANNAN ST to TOWNSEND ST (600 - 699),699 08TH ST,3783009,3783,9,14MFF-0001,EXPIRED,Cold Truck: sandwiches: drinks: snacks: candy: hot coffee,6011509.501,2108803.834,37.771022,-122.4035463,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0001&ExportPDF=1&Filename=14MFF-0001_schedule.pdf,Mo/Tu/We/Th/Fr:8AM-9AM,,09/10/14 0:00,08/01/14,1,03/15/2015 12:00:00 AM,"(37.7710219992437, -122.403546254184)"
526150,Cheese Gone Wild,Truck,4609000,DAVIS ST: DAVIS CT \ JACKSON ST to BROADWAY (500 - 699),,167010,167,10,14MFF-0035,EXPIRED,Grilled Cheese Sandwiches,6012974.89,2118691.505,37.79825299,-122.3991716,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0035&ExportPDF=1&Filename=14MFF-0035_schedule.pdf,We:6AM-3PM;Su:6AM-8PM,,03/13/2014 12:00:00 AM,13/03/14,0,03/15/2015 12:00:00 AM,"(37.7982529941715, -122.399171569524)"
437209,Natan's Catering,Truck,8954000,MENDELL ST: CARGO WAY to NEWHALL ST (1 - 199),151 MENDELL ST,4570019,4570,19,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6017284.437,2098416.063,37.74282023,-122.3828474,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Fr:8AM-9AM,,04/12/13 0:00,12/04/13,1,03/15/2014 12:00:00 AM,"(37.7428202346759, -122.382847355518)"
437220,Natan's Catering,Truck,197101,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3201 03RD ST,4377001,4377,1,13MFF-0102,EXPIRED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016160.221,2100487.333,37.74844534,-122.386879,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,Mo-Su:8AM-9AM,,04/12/13 0:00,12/04/13,1,03/15/2014 12:00:00 AM,"(37.7484453388377, -122.38687903198)"
526129,Bach Catering,Truck,2709000,BANCROFT AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1455 BANCROFT AVE,4879022,4879,22,14MFF-0034,EXPIRED,Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.,6014981.941,2091509.43,37.72372854,-122.3903264,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0034&ExportPDF=1&Filename=14MFF-0034_schedule.pdf,Mo-Fr:10AM-11AM,,03/13/2014 12:00:00 AM,13/03/14,1,03/15/2015 12:00:00 AM,"(37.723728538541, -122.390326357762)"
